pumpID,drug,currentRate,startVolume,alarm
46882698,naloxone_0.4mg_1mL,0.182111954,284.682113,0
12354893,morphine_sulfate_1mg_1mL,1.730001601,192.3652854,0
99508064,rocuronium_1mg_1mL,1.957490918,19.52247517,0
29147946,azithromycin_2mg_1mL,0.933089625,133.3517193,0
23521735,morphine_sulfate_1mg_1mL,0.310471881,195.4693282,0
38850793,naloxone_0.4mg_1mL,1.197076463,192.8687241,0
37196364,vecuronium_1mg_1mL,1.820210612,273.1811706,0
96812511,cisatricurim_40mg_100mL,1.547825076,85.58438402,0
84016389,azithromycin_2mg_1mL,0.50813263,206.3545611,0
80022407,propofol_10mg_1mL,1.550158347,64.52720035,0
11032944,nitroglycerin_100mg_250mL,1.650652519,163.0608363,0
43165118,morphine_sulfate_1mg_1mL,0.798179701,99.11645086,0
97338161,naloxone_0.4mg_1mL,0.822838638,91.04143699,0
11553081,rocuronium_1mg_1mL,0.968621933,232.5962324,0
77428342,nitroglycerin_100mg_250mL,1.778563756,63.05057742,0
43495223,propofol_10mg_1mL,1.072943839,159.8490344,0
23939748,vecuronium_1mg_1mL,0.438798144,9.992314065,0
73838799,acetylcysteine_30mg_1mL,1.993874838,84.37885613,0
50134598,azithromycin_2mg_1mL,1.73294501,166.715621,0
34525106,cisatricurim_40mg_100mL,0.869690379,139.4140312,0
24723387,fentanyl_2mg_100mL,0.666372292,89.17251898,0
22080385,acetylcysteine_30mg_1mL,1.786306409,52.72511226,0
86261136,azithromycin_2mg_1mL,0.170554992,154.5079132,0
72069497,cisatricurim_40mg_100mL,1.10301514,209.947456,0
11699311,fentanyl_2mg_100mL,0.791885461,156.7665804,0
81708624,azithromycin_2mg_1mL,1.438469004,147.7435139,0
53779249,morphine_sulfate_1mg_1mL,0.484560951,88.78258052,0
15420673,naloxone_0.4mg_1mL,0.071758089,78.76676249,0
91810386,rocuronium_1mg_1mL,0.923305536,109.1091011,0
18272867,nitroglycerin_100mg_250mL,1.960504475,215.9657459,0
62754688,propofol_10mg_1mL,1.819489526,212.2336429,0
40160007,vecuronium_1mg_1mL,0.167270916,112.1054176,0
14008681,acetylcysteine_30mg_1mL,1.676158179,166.7779179,0
99773793,azithromycin_2mg_1mL,0.246981356,153.1781196,0
55306723,cisatricurim_40mg_100mL,1.704581219,115.7205042,0
52133659,fentanyl_2mg_100mL,0.679289501,191.0661162,0
70235720,acetazolamide_100mg_1mL,0.454225878,210.557249,0
25050364,acyclovir_5mg_1mL,1.877082124,115.8730112,0
49728346,albumin_50mg_1mL,1.818996394,250.5080464,0
14613323,albumin_250mg_mL,1.828741334,277.9627061,0
65094467,amikacin_5mg_1mL,0.725191416,141.2100887,0
58239338,amiodarone_3mg_1mL,0.220424627,177.6025639,0
27511606,ampicillin_20mg_1mL,0.209040082,241.5622848,0
14811307,bumetanide_0.25mg_1mL,1.774747868,162.8781885,0
51963350,cefepine_20mg_1mL,0.999590719,74.27087325,0
28506075,clindamycin_18mg_1mL,0.54022297,243.3606318,0
66733058,diazepam_5mg_1mL,0.88993715,286.0348211,0
32267799,dopamine_400mg_250mL,0.61542393,96.63883765,0
22950915,epinephrine_4mg_250mL,0.25418726,282.8461061,0
31869187,fluconazole_2mg_1mL,0.778513296,265.0634712,0
73039320,gentamicin_2mg_1mL,1.990863372,238.0683957,0
86176813,levetiracetam_5mg_1mL,1.352878101,49.51329125,0
63896668,levofloxacin_5mg_1mL,0.0330185,272.1734937,0
85483955,meperidine_10mg_1mL,0.344914005,83.73282384,0
68702612,succinylcholine_20mg_1mL,0.152459427,233.7737149,0
37911588,amikacin_5mg_1mL,1.583129162,102.7646778,0
34321015,morphine_sulfate_1mg_1mL,0.502608141,92.90013891,0
49265073,azithromycin_2mg_1mL,0.469711288,211.1595074,0
48172122,amiodarone_3mg_1mL,1.125802238,173.7705242,0
11010298,acyclovir_5mg_1mL,1.959827704,299.0262647,0
18950778,levofloxacin_5mg_1mL,0.468116366,35.98052161,0
17087261,albumin_250mg_mL,0.485245239,160.8645688,0
66260965,propofol_10mg_1mL,0.662102152,219.8128159,0
51815199,meperidine_10mg_1mL,1.24473147,249.286953,0
38119978,epinephrine_4mg_250mL,1.324468695,131.1388134,0
85026306,clindamycin_18mg_1mL,0.223317,73.46675423,0
23335828,clindamycin_18mg_1mL,0.65631296,294.4485605,0
77045515,azithromycin_2mg_1mL,1.383702177,211.6963831,0
57885606,diazepam_5mg_1mL,1.953883274,172.077407,0
74295559,cefepine_20mg_1mL,1.089064323,84.51577255,0
13962066,gentamicin_2mg_1mL,1.446035983,179.1344772,0
94048576,clindamycin_18mg_1mL,0.563585112,74.54870829,0
48101685,fentanyl_2mg_100mL,0.888257291,203.8818855,0
83842768,albumin_250mg_mL,0.832177436,123.8694578,0
41484825,rocuronium_1mg_1mL,1.79106154,264.5815352,0
15915426,acetylcysteine_30mg_1mL,1.036027983,189.2964024,0
62831084,amiodarone_3mg_1mL,0.142252949,0.363120724,0
61769821,azithromycin_2mg_1mL,0.72200147,13.54603046,0
28928644,azithromycin_2mg_1mL,1.167142834,77.2447252,0
36986965,levofloxacin_5mg_1mL,0.175139619,296.9928717,0
65744663,acetazolamide_100mg_1mL,1.711833395,216.9585756,0
99108962,bumetanide_0.25mg_1mL,0.845372582,212.7050293,0
73338512,albumin_250mg_mL,1.89120729,111.8149354,0
65453588,vecuronium_1mg_1mL,0.373005813,51.70813138,0
93408881,albumin_50mg_1mL,1.645607453,36.50818727,0
11884772,vecuronium_1mg_1mL,1.475418143,240.4023972,0
36668816,clindamycin_18mg_1mL,0.852863755,233.6502419,0
64652958,fentanyl_2mg_100mL,0.144906008,180.920347,0
82581064,acetylcysteine_30mg_1mL,0.740401911,52.59457687,0
17443821,fluconazole_2mg_1mL,1.124079321,55.18448504,0
47301856,rocuronium_1mg_1mL,1.435022723,1.642339363,0
29708079,clindamycin_18mg_1mL,1.110282479,23.88666862,0
44498862,fluconazole_2mg_1mL,0.865360435,214.5505859,0
